CCEN;NOM;NOME;DGENRC;DGENRE;GENR;MUNI;DMUNIC;DMUNIE;DTERRC;DTERRE;DEPE;DTITUC;DTITUE;DOMI;CPOS;TEL1;TFAX;EMAIL;PAGINA;COOR_X;COOR_Y
010035;LAUDIO;LAUDIO;CEPA;HHI;11J1;036;LAUDIO/LLODIO;LAUDIO/LLODIO;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;LATEORRO 8;01400;946721734;946721734;010035aa@hezkuntza.net; ;503445.220942865;4776252.817551943
010039;MAESTU;MAESTU;CEIP;HLHI;11S0;037;ARRAIA-MAEZTU;ARRAIA-MAEZTU;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;FRONTÓN Z/G;01120;945410141;945410141;010039aa@hezkuntza.net; ;545254.232473103;4732036.12773128
010040;OKONDO;OKONDO;EEI;HHE;11A0;042;OKONDO;OKONDO;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;MALKUARTU BIDEA 2;01409;945898127;945898127;010040aa@hezkuntza.net;http://www.okondoeskola.hezkuntza.net;497778.107779363;4777818.798800988
010041;RAMIRO DE MAEZTU;RAMIRO DE MAEZTU;CEIP;HLHI;11S0;043;OYÓN-OION;OYÓN-OION;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;FUEROS 9;01320;945601030;945622046;010041aa@hezkuntza.net; ;546557.042888502;4706064.464188284
010042;UNAMUNZAGA;UNAMUNZAGA;CEIP;HLHI;11S0;047;RIBERA BAJA/ERRIBERA BEITIA;RIBERA BAJA/ERRIBERA BEITIA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;PARRALES 21;01213;945187021;945355146;010042aa@hezkuntza.net; ;506749.446194112;4728597.087737925
010046;ANITURRI;ANITURRI;IES;BHI;11D0;051;AGURAIN/SALVATIERRA;AGURAIN/SALVATIERRA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;GALZAR 4;01200;945187001; ;010046aa@hezkuntza.net;http://www.aniturri.hezkuntza.net/web/guest;549641.541126792;4744470.076836899
010048;IZARRA;IZARRA;CEIP;HLHI;11S0;054;URKABUSTAIZ;URKABUSTAIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;UGARTE 3;01440;945437167;945437714;010048aa@hezkuntza.net; ;508125.298298286;4755652.860613602
010049;GOBEA;GOBEA;CEIP;HLHI;11S0;055;VALDEGOVÍA/GAUBEA;VALDEGOVÍA/GAUBEA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ARQUITECTO JESÚS GUINEA 92;01426;945187148; ;010049aa@hezkuntza.net; ;491474.316486074;4743920.528695834
010051;ABENDAÑO IKASTOLA;ABENDAÑO IKASTOLA;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;MÉJICO 9;01009;945228546;945240744;010051aa@hezkuntza.net; ;525424.931206201;4744417.677502632
010052;ADURZA IKASTOLA;ADURZA IKASTOLA;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ITURRITXU 8;01006;945136822;945136822;010052aa@hezkuntza.net;http://www.adurtzaikastola.hezkuntza.net/web/guest;527484.899782396;4742416.554825366
010053;ARANZABELA IKASTOLA;ARANZABELA IKASTOLA;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;JOAQUÍN COLLAR 1;01002;945286063;945253982;010053aa@hezkuntza.net;http://www.arantzabelaikastola.hezkuntza.net/web/guest/inicio1;528218.516057727;4744465.987669237
010054;LANDAZURI IKASTOLA;LANDAZURI IKASTOLA;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;BEATO TOMÁS DE ZUMARRAGA 5;01008;945140066;945065439;010054aa@hezkuntza.net;http://www.landazurikastola.hezkuntza.net/web/guest/inicio1;526364.009183857;4744148.062382011
010071;LUIS DORAO;LUIS DORAO;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;SAN VIATOR 4;01009;945273231;945273231;010071aa@hezkuntza.net; ;525805.658329038;4744878.593684476
010076;MIGUEL DE CERVANTES;MIGUEL DE CERVANTES;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ARIZNAVARRA Z/G;01007;945132113;945133457;010076aa@hezkuntza.net;https://www.cervantesgasteiz.net/;525354.25607474;4743423.119941947
010080;PADRE ORBISO;PADRE ORBISO;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;FRANCISCO JAVIER LANDABURU 7;01011;945173018;945173018;010080aa@hezkuntza.net; ;526076.468347409;4745725.091382318
010100;RAMÓN BAJO;RAMÓN BAJO;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ESCUELAS 16;01001;945187015; ;010100aa@hezkuntza.net; ;526801.06366908;4744145.43291723
010103;SAN MARTÍN;SAN MARTÍN;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ADRIANO VI Z/G;01008;945187151;945187152;010103aa@hezkuntza.net;http://www.sanmartineskola.com;525653.12670125;4744009.970490215
010105;STA. MARÍA DE VITORIA;STA. MARÍA DE VITORIA;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;RAMIRO DE MAEZTU 24;01008;945143115;945143115;010105aa@hezkuntza.net; ;526306.082127677;4744158.770202464
010108;I. AGRARIO ARKAUTE/ARKAUTE NEKAZARITZA I.;I. AGRARIO ARKAUTE/ARKAUTE NEKAZARITZA I.;IES;BHI;11D0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ARKAUTE S/N;01192;945285387;945410252;010108aa@hezkuntza.net;http://www.mendikoi.net;530508.782819266;4744725.194908354
010117;GORBEIALDE;GORBEIALDE;CEE;HBI;11I0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;BLAS DE OTERO 2;01010;945171132;945176628;010117aa@hezkuntza.net; ;525327.267426359;4745469.193469598
010123;PAULO FREIRE;PAULO FREIRE;CEPA;HHI;11J1;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;COLEGIO DE SAN PRUDENCIO 1;01001;945278299;945281017;010123aa@hezkuntza.net;http://www.epapaulofreire.org;527011.728499156;4744180.545770111
010131;JESÚS GURIDI;JESÚS GURIDI;CPM;MKP;12P0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;PL. DE LA CONSTITUCIÓN 9;01009;945282400;945268935;010131aa@hezkuntza.net; ;525983.430486217;4744867.675906759
010133;FEDERICO BARAIBAR;FEDERICO BARAIBAR;IES;BHI;11D0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;NIEVES CANO 14;01006;945187009;945187010;010133aa@hezkuntza.net; ;526393.496323059;4743017.002605956
010134;FRANCISCO DE VITORIA;FRANCISCO DE VITORIA;IES;BHI;11D0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;EL SALVADOR 1;01012;945187012;945187011;010134aa@hezkuntza.net;http://www.franciscodevitoria.net;526475.8393242;4745115.595443454
010135;LOS HERRÁN;LOS HERRÁN;IES;BHI;11D0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;LOS HERRÁN 70 6002 P.K.;01002;945187046; ;010135aa@hezkuntza.net;http://www.ieslosherranbhi.hezkuntza.net/web/guest/home;527336.161242984;4744189.753895823
010137;CIUDAD JARDÍN ;CIUDAD JARDÍN ;CIFP;LHII;11U0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ÁLAVA 39;01006;945233714;945233750;010137aa@hezkuntza.net;http://www.icjardin.net;526365.163602058;4742698.717391991
010138;MENDIZABALA;MENDIZABALA;CIFP;LHII;11U0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;PORTAL DE LASARTE Z/G;01007;945000440;945000439;010138aa@hezkuntza.net;http://www.mendizabala.com;525751.532607079;4742678.001608628
010140;ODÓN DE APRAIZ IKASTOLA;ODÓN DE APRAIZ IKASTOLA;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;BEHENAFARROA Z/G;01002;945121463;945284241;010140aa@hezkuntza.net;http://www.odondeapraiz.hezkuntza.net/web/guest/;527085.042300792;4744787.792166863
010142;PEDRO IGNACIO BARRUTIA IKASTOLA;PEDRO IGNACIO BARRUTIA IKASTOLA;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ESPOZ Y MINA Z/G;01010;945172131;945170339;010142aa@hezkuntza.net; ;524996.427661513;4745097.109206273
010153;TOKI EDER IKASTOLA;TOKI EDER IKASTOLA;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;WELLINGTONGO DUKEA 6;01010;945171210;945171210;010153aa@hezkuntza.net; ;525186.98087735;4745358.915916275
010156;VIRGEN DE ORO;VIRGEN DE ORO;CEIP;HLHI;11S0;063;ZUIA;ZUIA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;EL MANZANAL 2;01130;945430161;945430161;010156aa@hezkuntza.net; ;514617.622575559;4755915.837085501
010157;MURGIA;MURGIA;IES;BHI;11D0;063;ZUIA;ZUIA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;DOMINGO DE SAUTU Z/G;01130;945187051;945187052;010157aa@hezkuntza.net; ;513733.98965495;4756070.82553805
010158;JOSÉ MIGUEL BARANDIARAN;JOSÉ MIGUEL BARANDIARAN;CEIP;HLHI;11S0;901;IRUÑA OKA/IRUÑA DE OCA;IRUÑA OKA/IRUÑA DE OCA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;LANGRAIZ 4;01230;945371080;945371328;010158aa@hezkuntza.net; ;516141.32266796;4740769.230133542
010160;ARESKETA IKASTOLA;ARESKETA IKASTOLA;CPEIPS;HLBHIP;31H0;002;AMURRIO;AMURRIO;ARABA/ÁLAVA;ARABA/ÁLAVA;32;PRIVADA;PRIBATUA;ARESKETA 2 27 P.K.;01470;945890360;945393507;idazkaritza@aresketaikastola.eus; ;499172.496541514;4766383.556411506
010165;ETXAURREN IKASTOLA;ETXAURREN IKASTOLA;CEIP;HLHI;11S0;010;AYALA/AIARA;AYALA/AIARA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;IBAGUEN 1;01477;945187000; ;010165aa@hezkuntza.net; ;495052.790272764;4770757.126184027
010170;BASTIDA IKASTOLA;BASTIDA IKASTOLA;CPEIP;HLHIP;31E0;028;LABASTIDA/BASTIDA;LABASTIDA/BASTIDA;ARABA/ÁLAVA;ARABA/ÁLAVA;32;PRIVADA;PRIBATUA;DIPUTAZIO ETORBIDEA 25;01330;945331156;945331632;bastida@ikastola.net; ;516887.942639746;4715110.112972634
010172;LANTZIEGO IKASTOLA;LANTZIEGO IKASTOLA;CEIP;HLHI;11S0;032;LANCIEGO/LANTZIEGO;LANCIEGO/LANTZIEGO;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;EL OLMO 3;01308;945608125;945608205;010172aa@hezkuntza.net; ;539888.249297449;4712451.854053549
010173;ASSA IKASTOLA;ASSA IKASTOLA;CPEIPS;HLBHIP;31H0;033;LAPUEBLA DE LABARCA;LAPUEBLA DE LABARCA;ARABA/ÁLAVA;ARABA/ÁLAVA;32;PRIVADA;PRIBATUA;MARÍA CRUZ SÁENZ DÍAZ 3;01306;945607199;945627316;idazkaritza@assaikastola.net; ;534770.606214458;4704616.638888936
010174;LAUDIO IKASTOLA;LAUDIO IKASTOLA;CPEIPS;HLBHIP;31H0;036;LAUDIO/LLODIO;LAUDIO/LLODIO;ARABA/ÁLAVA;ARABA/ÁLAVA;32;PRIVADA;PRIBATUA;MOTXOTEKALE 16;01400;946726737;946728511;laudio@ikastola.net; ;503102.268032748;4777086.917773254
010178;SAN BIZENTE IKASTOLA;SAN BIZENTE IKASTOLA;CPEIPS;HLBHIP;31H0;043;OYÓN-OION;OYÓN-OION;ARABA/ÁLAVA;ARABA/ÁLAVA;32;PRIVADA;PRIBATUA;FUEROS 5;01320;945601206; ;idazkaritza@sanbizenteikastola.com; ;546478.196125343;4706074.562132877
010179;P. LOPE DE LARREA IKASTOLA;P. LOPE DE LARREA IKASTOLA;CEIP;HLHI;11S0;051;AGURAIN/SALVATIERRA;AGURAIN/SALVATIERRA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ANITURRI 18;01200;945187004;945187006;010179aa@hezkuntza.net; ;549699.393970374;4744518.217038101
010185;ABETXUKO IKASTOLA;ABETXUKO IKASTOLA;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ITURRIZABALA Z/G;01013;945265647;945265647;010185aa@hezkuntza.net; ;526233.576418782;4747101.351248602
010188;OLABIDE IKASTOLA;OLABIDE IKASTOLA;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;32;PRIVADA;PRIBATUA;LASARTEKO ERREPIDEA 101;01007;945011963;945130250;posta@olabide.com; ;524849.577420444;4741309.040256753
010192;UMANDI IKASTOLA;UMANDI IKASTOLA;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;FRANCISCO JAVIER LANDABURU 9;01010;945172801;945172693;010192aa@hezkuntza.net; ;526172.210845531;4745773.951436995
010195;AMAURRE;AMAURRE;CPEIPS;HLBHIP;31H0;002;AMURRIO;AMURRIO;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;DIONISIO ALDAMA 18;01470;945393544;945393544;info@amaurre.eus;http://www.amaurre.eus;499847.930139492;4766294.374564213
010199;LA MILAGROSA;LA MILAGROSA;CPEIPS;HLBHIP;31H0;036;LAUDIO/LLODIO;LAUDIO/LLODIO;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;LEZEAGABIDE 2;01400;946720701;946727471;zuzendaritza@lamilagrosalaudio.eus; ;502621.188984828;4777164.671946617
010201;LAUDIOALDE LANBIDE ESKOLA;LAUDIOALDE LANBIDE ESKOLA;IES;BHI;11D0;036;LAUDIO/LLODIO;LAUDIO/LLODIO;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;VIRGEN DEL CARMEN 17;01400;946720505;946721057;010201aa@hezkuntza.net;http://www.cmfp-llodio.com/;503241.490867843;4776817.252662808
010202;LAUTADA IKASTOLA;LAUTADA IKASTOLA;CPEIPS;HLBHIP;31H0;051;AGURAIN/SALVATIERRA;AGURAIN/SALVATIERRA;ARABA/ÁLAVA;ARABA/ÁLAVA;32;PRIVADA;PRIBATUA;ZUAZU ERREPIDEA 29;01200;945300215; ;agurain@lautadaikastola.eus; ;549693.729075342;4744634.983270671
010214;BERMAR;BERMAR;CPFPB;OLHIP;31P0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;31;PRIVADA;PRIBATUA;SAN ANTONIO 43;01005;945230780;945232647;direccion@colegiobermar.com; ;526607.410015788;4743299.555093215
010216;CALASANZ;CALASANZ;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;FEDERICO BARAIBAR 36;01003;945284000;945264105;colegio@escolapiosgasteiz.org; ;527840.229704801;4743406.943234669
010218;HOGAR SAN JOSE;HOGAR SAN JOSE;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;ARIZNAVARRA 1;01007;945130399;945155549;fidelm@hsanjosevitoria.com; ;525356.152618928;4743248.365512705
010219;INMACULADA CONCEPCIÓN;INMACULADA CONCEPCIÓN;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;PL. 1 DE MAYO 3;01013;945265398;945265398;direccion.inmaculada@ficabetxuko.es; ;526086.627227582;4747279.37501238
010221;URKIDE;URKIDE;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;32;PRIVADA;PRIBATUA;MAGDALENA 8;01008;945133100;945146332;info@urkide.org; ;526333.878868799;4743786.326012402
010222;NAZARETH;NAZARETH;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;ÁLAVA 35;01006;945232967;945130611;secretariavitoria@salesianas.org; ;526436.968414188;4742694.418267066
010223;NIÑO JESÚS;NIÑO JESÚS;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;BEATO TOMÁS DE ZUMARRAGA 24;01008;945242495;945242858;dirpedagogicanj@njesus.com;http://www.njesusikastetxea.com;526223.178409125;4744190.29378593
010224;NTRA. SRA. DE LAS MERCEDES;NTRA. SRA. DE LAS MERCEDES;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;CUADRILLA DE LAGUARDIA 1-B;01013;945256922;945275131;direccionp@mercedariasgasteiz.com; ;527377.522397973;4745107.976994167
010228;PRESENTACIÓN DE MARÍA;PRESENTACIÓN DE MARÍA;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;CRUZ BLANCA 4;01012;945217394;945229358;direccion.vitoria@presentaciondemaria.org; ;526279.21716696;4744532.834062847
010229;CARMELITAS-SAGRADO CORAZÓN;CARMELITAS-SAGRADO CORAZÓN;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;FUEROS 49;01005;945282942;945250488;secretaria@carmelitasvitoria.com; ;527003.062116801;4743338.587148353
010231;SAN IGNACIO;SAN IGNACIO;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ITURRITXU Z/G;01006;945135412;945231265;010231aa@hezkuntza.net; ;527592.862621764;4742410.296099311
010233;SAN VIATOR;SAN VIATOR;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;SAN VIATOR 15;01009;945220500;945242412;sanviator@sanviator.eus; ;525916.490722222;4744809.017846436
010234;SANTA MARÍA;SANTA MARÍA;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;LUIS HEINTZ 5;01008;945134107;945146780;csmvi@marias-gasteiz.org; ;526224.431777458;4743685.406554266
010235;SAGRADO CORAZÓN;SAGRADO CORAZÓN;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;FRAY FRANCISCO 1;01007;945151709;945150266;directortitular@corazonistasvitoria.com; ;526323.010846017;4743244.716255502
010237;VERA CRUZ;VERA CRUZ;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;FRAY FRANCISCO 15;01007;945143660;945143001;secretaria@colegioveracruz.com;http://www.colegioveracruz.com;526080.954086706;4743110.203635156
010239;CEU VIRGEN NIÑA;CEU VIRGEN NIÑA;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;P. DEL BATAN 60;01007;945142874;945234564;direccionceuvn@ceu.es;http://www.colegioceuvitoria.es;526111.348268782;4742549.30780388
